date,hour,gmv
2017-01-29,8,64963.0
2017-01-29,9,113637.0
2017-01-29,10,140367.0
2017-01-29,11,139417.0
2017-01-29,12,153398.0
2017-01-29,13,176441.0
2017-01-29,14,166887.0
2017-01-29,15,175272.0
2017-01-29,16,193566.0
2017-01-29,17,166470.0
2017-01-29,18,146899.0
2017-01-29,19,139854.0
2017-01-29,20,158317.0
2017-01-29,21,189459.0
2017-01-29,22,206666.0
2017-01-29,23,205949.0
2017-01-30,0,166153.0
2017-01-30,1,71141.0
2017-01-30,2,30467.0
2017-01-30,3,21812.0
2017-01-30,4,8643.0
2017-01-30,5,6971.0
2017-01-30,6,23903.0
2017-01-30,7,43506.0
2017-01-30,8,93360.0
2017-01-30,9,110353.0
2017-01-30,10,159626.0
2017-01-30,11,202645.0
2017-01-30,12,193502.0
2017-01-30,13,149886.0
2017-01-30,14,227335.0
2017-01-30,15,232734.0
2017-01-30,16,247133.0
2017-01-30,17,178633.0
2017-01-30,18,148207.0
2017-01-30,19,170557.0
2017-01-30,20,162114.0
2017-01-30,21,152045.0
2017-01-30,22,238369.0
2017-01-30,23,189091.0
2017-01-31,0,125956.0
2017-01-31,1,61874.0
2017-01-31,2,33244.0
2017-01-31,3,18162.0
2017-01-31,4,4343.0
2017-01-31,5,5429.0
2017-01-31,6,13077.0
2017-01-31,7,45643.0
2017-01-31,8,88051.0
2017-01-31,9,127773.0
2017-01-31,10,198418.0
2017-01-31,11,185900.0
2017-01-31,12,215761.0
2017-01-31,13,155301.0
2017-01-31,14,209058.0
2017-01-31,15,215314.0
2017-01-31,16,224166.0
2017-01-31,17,200984.0
2017-01-31,18,157139.0
2017-01-31,19,151574.0
2017-01-31,20,166898.0
2017-01-31,21,123763.0
2017-01-31,22,197378.0
2017-01-31,23,211043.0
2017-02-01,0,169691.0
2017-02-01,1,98335.0
2017-02-01,2,40453.0
2017-02-01,3,9853.0
2017-02-01,4,10270.0
2017-02-01,5,1737.0
2017-02-01,6,24877.0
2017-02-01,7,33947.0
2017-02-01,8,96301.0
2017-02-01,9,151446.0
2017-02-01,10,163751.0
2017-02-01,11,230640.0
2017-02-01,12,287894.0
2017-02-01,13,231228.0
2017-02-01,14,296649.0
2017-02-01,15,212256.0
2017-02-01,16,207199.0
2017-02-01,17,138942.0
2017-02-01,18,138541.0
2017-02-01,19,193230.0
2017-02-01,20,185641.0
2017-02-01,21,220265.0
2017-02-01,22,265965.0
2017-02-01,23,258341.0
2017-02-02,0,159169.0
2017-02-02,1,86000.0
2017-02-02,2,29460.0
2017-02-02,3,10289.0
2017-02-02,4,7855.0
2017-02-02,5,5389.0
2017-02-02,6,23259.0
2017-02-02,7,58631.0
2017-02-02,8,102213.0
2017-02-02,9,137670.0
2017-02-02,10,235268.0
2017-02-02,11,255710.0
2017-02-02,12,239327.0
2017-02-02,13,239874.0
2017-02-02,14,218162.0
2017-02-02,15,314053.0
2017-02-02,16,289251.0
2017-02-02,17,207650.0
2017-02-02,18,143158.0
2017-02-02,19,253842.0
2017-02-02,20,247077.0
2017-02-02,21,220893.0
2017-02-02,22,300686.0
2017-02-02,23,282729.0
2017-02-03,0,216411.0
2017-02-03,1,95293.0
2017-02-03,2,40625.0
2017-02-03,3,27795.0
2017-02-03,4,8949.0
2017-02-03,5,2208.0
2017-02-03,6,35868.0
2017-02-03,7,51119.0
2017-02-03,8,94664.0
2017-02-03,9,191739.0
2017-02-03,10,260742.0
2017-02-03,11,245418.0
2017-02-03,12,291426.0
2017-02-03,13,250559.0
2017-02-03,14,246749.0
2017-02-03,15,278354.0
2017-02-03,16,300215.0
2017-02-03,17,252976.0
2017-02-03,18,193445.0
2017-02-03,19,272219.0
2017-02-03,20,250773.0
2017-02-03,21,221663.0
2017-02-03,22,313941.0
2017-02-03,23,269633.0
2017-02-04,0,206525.0
2017-02-04,1,107686.0
2017-02-04,2,46978.0
2017-02-04,3,31862.0
2017-02-04,4,25452.0
2017-02-04,5,20172.0
2017-02-04,6,37279.0
2017-02-04,7,64721.0
2017-02-04,8,132378.0
2017-02-04,9,166947.0
2017-02-04,10,220967.0
2017-02-04,11,252352.0
2017-02-04,12,210430.0
2017-02-04,13,302028.0
2017-02-04,14,215708.0
2017-02-04,15,285168.0
2017-02-04,16,300937.0
2017-02-04,17,208629.0
2017-02-04,18,274840.0
2017-02-04,19,258705.0
2017-02-04,20,259889.0
2017-02-04,21,274483.0
2017-02-04,22,310722.0
2017-02-04,23,299282.0
2017-02-05,0,252648.0
2017-02-05,1,161874.0
2017-02-05,2,71563.0
2017-02-05,3,27174.0
2017-02-05,4,13388.0
2017-02-05,5,17497.0
2017-02-05,6,16893.0
2017-02-05,7,67213.0
2017-02-05,8,137551.0
2017-02-05,9,181518.0
2017-02-05,10,199331.0
2017-02-05,11,272914.0
2017-02-05,12,278962.0
2017-02-05,13,219646.0
2017-02-05,14,224321.0
2017-02-05,15,296736.0
2017-02-05,16,239918.0
2017-02-05,17,240475.0
2017-02-05,18,205486.0
2017-02-05,19,167028.0
2017-02-05,20,188771.0
2017-02-05,21,195800.0
2017-02-05,22,228935.0
2017-02-05,23,252295.0
2017-02-06,0,200444.0
2017-02-06,1,121501.0
2017-02-06,2,41657.0
2017-02-06,3,19659.0
2017-02-06,4,12453.0
2017-02-06,5,20337.0
2017-02-06,6,35155.0
2017-02-06,7,59500.0
2017-02-06,8,113374.0
2017-02-06,9,161873.0
2017-02-06,10,252191.0
2017-02-06,11,286475.0
2017-02-06,12,282510.0
2017-02-06,13,220365.0
2017-02-06,14,253553.0
2017-02-06,15,293362.0
2017-02-06,16,263001.0
2017-02-06,17,256621.0
2017-02-06,18,207783.0
2017-02-06,19,21893.0
2017-02-06,20,149831.0
2017-02-06,21,207550.0
2017-02-06,22,288277.0
2017-02-06,23,286981.0
2017-02-07,0,190638.0
2017-02-07,1,83625.0
2017-02-07,2,35076.0
2017-02-07,3,31052.0
2017-02-07,4,15701.0
2017-02-07,5,19173.0
2017-02-07,6,23324.0
2017-02-07,7,89853.0
2017-02-07,8,117413.0
2017-02-07,9,172773.0
2017-02-07,10,230118.0
2017-02-07,11,333539.0
2017-02-07,12,267573.0
2017-02-07,13,226777.0
2017-02-07,14,302344.0
2017-02-07,15,355904.0
2017-02-07,16,280397.0
2017-02-07,17,229564.0
2017-02-07,18,230857.0
2017-02-07,19,234836.0
2017-02-07,20,240054.0
2017-02-07,21,277386.0
2017-02-07,22,255775.0
2017-02-07,23,262157.0
2017-02-08,0,208335.0
2017-02-08,1,94633.0
2017-02-08,2,49864.0
2017-02-08,3,24755.0
2017-02-08,4,11366.0
2017-02-08,5,7765.0
2017-02-08,6,23640.0
2017-02-08,7,71763.0
2017-02-08,8,128806.0
2017-02-08,9,191160.0
2017-02-08,10,188070.0
2017-02-08,11,284518.0
2017-02-08,12,255705.0
2017-02-08,13,249405.0
2017-02-08,14,266020.0
2017-02-08,15,311392.0
2017-02-08,16,290479.0
2017-02-08,17,240239.0
2017-02-08,18,207037.0
2017-02-08,19,182244.0
2017-02-08,20,196084.0
2017-02-08,21,168582.0
2017-02-08,22,237375.0
2017-02-08,23,308217.0
2017-02-09,0,211290.0
2017-02-09,1,98631.0
2017-02-09,2,46506.0
2017-02-09,3,30268.0
2017-02-09,4,8579.0
2017-02-09,5,4463.0
2017-02-09,6,9310.0
2017-02-09,7,53744.0
2017-02-09,8,133587.0
2017-02-09,9,205094.0
2017-02-09,10,321324.0
2017-02-09,11,232619.0
2017-02-09,12,310868.0
2017-02-09,13,221181.0
2017-02-09,14,254168.0
2017-02-09,15,233129.0
2017-02-09,16,287457.0
2017-02-09,17,206777.0
2017-02-09,18,130927.0
2017-02-09,19,186608.0
2017-02-09,20,185227.0
2017-02-09,21,188369.0
2017-02-09,22,205914.0
2017-02-09,23,251646.0
2017-02-10,0,165136.0
2017-02-10,1,104592.0
2017-02-10,2,36763.0
2017-02-10,3,32093.0
2017-02-10,4,10952.0
2017-02-10,5,6472.0
2017-02-10,6,51180.0
2017-02-10,7,67314.0
2017-02-10,8,91329.0
